"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Costa Rica","CRI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","76.48776","76.72574","86.36866","90.31843","88.93227","86.63399","81.92198","89.02445","85.62152","82.86777","83.46024","87.11617","87.77172","81.60789","74.92113","78.14954","78.68407","75.86149","76.2366","75.64157","75.05985","79.76425","81.80667","83.72751","82.46382","81.76579","83.92414","","","86.56073","92.11182","94.77646","96.69088","","96.4625","95.44037","91.70082","93.73183","95.05981","98.13118","99.36927","104.53825","102.6313","98.9648","98.73826","99.46631","96.44022","","",
"Caribbean small states","CSS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","89.75744","89.30668","91.33792","90.93209","92.3752","89.98134","91.11239","92.35701","91.58567","91.34513","88.94243","89.60672","91.33247","92.44518","94.39364","94.99696","93.92009","93.19005","91.83533","90.04202","88.21107","87.98085","88.77658","90.58674","92.30341","91.22421","86.20563","87.7981","87.32074","89.318","89.85992","90.79658","90.45665","91.18708","92.3667","91.29953","92.1305","92.56867","92.28868","","","","","",
"Cuba","CUB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","64.91327","58.36622","65.51316","75.48843","79.6341","93.69411","111.33939","119.56763","114.39204","105.84486","96.94079","87.15941","95.86826","100.51178","97.43561","94.29142","97.18809","95.31641","96.2121","93.87616","94.151","86.63637","83.79512","96.54062","96.93307","97.50993","","","94.59031","96.27994","95.94343","100.85803","96.19925","93.07577","93.4402","91.70024","91.92276","88.06213","96.05567","96.42297","97.81887","96.87398","95.8527","100.30573","99.33975","94.96258","91.58873","",
"Curacao","CUW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","87.75525","87.38424","84.59438","86.59138","79.1223","78.65077","72.23928","77.63688","83.596","73.07264","89.33345","77.81579","78.40547","76.00438","58.13023","61.31049","68.53172","78.93495","78.21712","78.59986","83.33194","82.68611","100.76701","104.23888","99.69097","97.15772","98.86197","","100.71855","97.6595","98.04249","100.45012","101.18464","87.55183","100.0818","101.14621","99.95163","100.24621","103.16041","99.31649","101.7331","100.06414","98.33207","99.82538","96.81906","","","",
"Czech Republic","CZE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.68616","103.84331","104.55149","108.63199","","","99.46186","99.34426","99.44398","104.01154","99.17753","99.77789","98.93573","93.89644","95.59894","98.51065","103.52921","106.46051","103.7556","100.96916","99.71576","98.10523","96.0379","97.0918","","",
"Germany","DEU","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.0441","96.41875","95.88124","96.41224","98.559","","101.21683","104.12187","105.60008","101.50924","100.5509","99.36349","96.78515","98.40588","103.44922","101.89909","102.30844","101.946","101.50885","99.28615","99.61108","98.81083","100.48256","99.24214","","",
"Djibouti","DJI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","20.38123","20.44888","20.19653","20.40973","19.06676","","","","","","","","","","26.25857","29.08726","27.41121","30.51026","28.51501","24.49827","27.5253","24.70535","27.87883","30.15399","27.61917","24.8395","","23.43583","26.69132","26.41596","","","","33.617","38.25157","","43.34755","","","47.0037","","46.78784","55.26713","60.26677","61.63699","57.45436","",
"Dominica","DMA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.67873","","","","","","","","","","","122.96467","118.96685","119.89645","104.62633","100.27739","102.57278","102.1419","92.38613","93.97163","89.34911","85.25097","82.59109","92.51064","103.9604","102.66413","106.64653","111.11111","117.87649","","",
"Denmark","DNK","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","95.60695","92.49302","93.83873","92.67747","94.18851","101.27813","100.74891","108.11135","109.42116","102.22899","93.27627","91.28052","92.1761","97.77244","99.98391","97.04543","98.41899","102.33848","97.65247","95.36968","97.75566","97.01695","99.28284","96.84341","","","","101.62769","101.44978","100.14678","101.35879","105.41577","","100.65758","100.35957","102.03966","101.75592","100.96915","97.97162","99.1185","99.62967","98.26137","99.28279","98.78085","98.74251","103.88269","","",
"Dominican Republic","DOM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","34.55967","","","","","","","","","","52.35496","","","","","","","","","","","","","61.99568","","","","","72.46719","77.82426","","90.43287","","86.2749","","83.75366","90.95272","","92.57041","91.43552","91.13156","90.69498","90.65205","90.9116","94.21953","93.27347","","",
"Algeria","DZA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","41.31342","43.27804","45.64692","51.2416","57.37763","60.53847","63.15657","63.01561","62.53661","66.40612","67.80984","70.23853","74.53523","87.99756","72.28838","74.22572","75.24168","78.11444","77.01406","76.183","79.41767","79.18177","78.4275","79.89765","83.04563","83.28284","","82.3502","79.73746","85.92341","87.84349","89.60122","91.33145","93.18503","83.74856","94.48726","113.03644","91.83434","95.53892","97.56832","101.45018","105.91317","108.28085","105.43642","105.44688","105.6288","",
"East Asia & Pacific (excluding high income)","EAP","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.55472","96.5231","96.61939","96.65484","93.65355","94.98358","96.51407","93.40523","90.15521","89.06532","89.9918","90.92748","92.1197","93.42214","92.56664","92.14049","91.53024","90.85973","90.18669","93.80315","99.41165","101.11241","102.09431","100.53929","100.65619","99.09042","95.37316","93.08624","95.13956","97.10636","",
"Early-demographic dividend","EAR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","49.70966","49.77414","50.12824","50.97871","51.30862","52.30176","53.38341","54.37128","55.25868","56.05434","57.62458","59.22462","60.95282","62.71197","64.89305","66.99398","68.19613","69.09376","70.228","70.59159","70.97482","71.39135","72.26313","73.05492","73.77336","74.42962","74.22779","74.10682","74.22462","74.17889","75.81021","76.80302","78.67733","80.93184","82.75894","84.59143","85.22023","86.8259","88.36467","89.33642","89.93111","89.62403","91.77049","92.59441","93.8351","94.01917","93.47443","93.80384","",
"East Asia & Pacific","EAS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","97.239","97.10061","96.81526","96.67949","96.97768","96.931","94.33365","95.46372","96.8403","93.97589","90.83295","89.6963","90.57926","91.44812","92.53201","93.77042","92.82899","92.53371","92.04832","91.43716","90.85052","94.39532","99.52424","101.08688","101.96663","100.63983","100.85758","99.30218","95.73778","93.62512","95.44","97.27113","",
