"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Cuba","CUB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.90412","14.26831","14.32157","14.91421","16.51523","15.83298","15.83936","16.17962","16.72048","17.59075","17.20125","15.64949","15.49765","","15.69695","15.92778","16.27625","","","",
"Czech Republic","CZE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.24754","","8.54842","8.90853","8.91229","8.67646","8.8648","8.38266","9.43307","9.20297","10.19694","9.57695","9.21463999999999","9.43732999999999","9.34049","9.92718","9.55685","9.60244","9.4578","13.88252","","","",
"Germany","DEU","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.65102","9.46263","9.57159","8.32049","","9.33901","","","","","","","","9.57415999999999","10.14314","10.11993","10.25824","10.39811","10.75331","11.1373","11.04308","11.13364","10.97507","","","",
"Djibouti","DJI","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.89607","29.38595","26.28002","25.48931","24.27149","24.70114","22.71505","24.70796","22.52744","","","12.3284","","","","","","","","",
"Dominica","DMA","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1116","11.41962","","","","","","","","","","","","","","","","10.5221","","","",
"Denmark","DNK","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4157","12.2943","12.40994","11.18606","","10.6013","","13.87737","13.47953","13.14821","14.14248","","14.63437","14.54371","15.34415","15.54854","15.43388","15.14175","15.48686","15.77934","15.51264","15.3567","14.83026","14.94417","15.10334","15.03626","12.48871","15.21744","13.82682","","","","",
"Dominican Republic","DOM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.98848","12.50729","12.07972","9.70181","","","","12.57788","","","","","","","","","","","",
